A11,A12,A13,A14,A15,A16,A17,A18,A21,A22,A23,A24,A31,A32,A41,B11,B12,B13,B14,B15,B16,B17,B18,B21,B22,B23,B24,B31,B32,B41,C11,C12,C13,C14,C15,C16,C17,C18,C21,C22,C23,C24,C31,C32,C41,D11,D12,D13,D14,D15,D16,D17,D18,D21,D22,D23,D24,D31,D32,D41,E51,E52,E69
1,3,6,8,9,12,14,16,1,6,12,16,1,16,1,17,20,21,23,25,27,29,31,17,23,27,29,17,29,29,33,36,37,39,42,43,46,47,33,37,42,47,33,42,33,49,51,54,56,57,59,62,63,49,56,57,63,56,57,57,29,33,33
1,3,5,8,10,11,13,15,1,5,11,15,1,15,1,17,19,21,24,26,28,29,32,17,21,28,29,17,28,17,33,35,37,39,41,44,46,47,33,37,44,46,33,44,33,49,51,53,56,57,59,61,63,49,53,57,63,53,63,63,1,33,1
1,3,5,7,9,12,13,15,1,7,9,15,1,9,1,17,19,22,24,26,28,30,31,17,24,28,31,17,28,17,33,35,38,40,42,44,45,47,33,40,42,47,33,47,47,49,51,53,56,58,59,61,63,51,53,58,63,51,63,51,1,51,51
1,3,6,7,9,11,13,16,1,7,9,16,1,16,16,17,20,21,23,25,27,29,31,17,23,27,29,17,27,17,33,35,37,39,41,44,46,47,33,37,44,47,33,44,44,49,51,53,56,57,59,62,63,49,53,59,63,49,59,59,16,44,44
2,3,6,8,9,12,13,15,2,6,12,15,6,15,15,17,19,21,23,26,27,29,31,17,21,27,29,17,27,17,33,35,38,39,41,44,46,47,33,39,41,47,39,41,39,49,51,53,56,57,60,61,63,51,56,57,63,56,63,56,17,39,17
1,3,5,7,9,11,13,16,1,7,11,16,7,16,7,17,19,22,24,25,28,29,31,17,22,28,29,17,28,17,33,35,38,39,42,44,46,47,33,39,44,47,39,47,39,49,51,53,56,57,59,62,63,49,53,57,63,53,63,53,7,39,7
2,3,6,7,9,11,13,15,3,6,9,13,6,9,6,17,20,21,23,26,27,30,31,17,21,26,30,17,30,30,33,36,38,39,41,43,45,47,33,38,43,47,33,43,43,49,51,53,56,58,60,61,63,49,53,60,63,53,60,53,6,43,6
1,3,6,7,9,11,14,15,1,7,9,15,1,9,1,17,19,21,23,25,27,29,31,19,21,25,29,21,29,29,33,35,38,40,41,44,45,47,33,38,44,45,33,44,33,49,52,53,56,57,60,62,63,49,53,60,62,53,60,53,1,33,1
2,3,5,7,9,11,14,16,3,7,9,14,3,9,9,17,19,21,23,25,28,29,31,17,23,25,29,17,29,17,33,35,37,39,41,44,46,47,33,37,44,46,33,46,33,49,52,53,56,57,60,61,63,52,53,57,63,52,63,52,9,33,9
1,3,5,7,9,11,13,15,1,7,9,15,1,9,1,17,20,21,24,25,28,29,32,17,21,25,29,17,25,17,33,35,37,39,41,44,46,47,35,39,41,47,39,41,39,49,51,53,55,57,60,61,63,51,53,57,61,53,57,53,1,53,1
1,3,6,8,9,12,13,16,3,6,9,16,6,9,6,17,20,22,23,26,28,30,31,20,23,26,31,20,31,20,33,35,37,40,42,43,45,48,33,37,43,45,33,45,33,49,51,53,56,57,60,62,63,51,56,57,63,51,57,51,6,51,6
1,3,6,8,10,11,13,15,1,8,11,13,1,11,1,17,19,21,23,26,27,30,31,17,23,26,31,17,31,31,33,35,37,40,42,44,45,48,33,37,42,45,33,42,42,49,51,54,55,57,59,61,63,49,55,57,63,49,63,49,1,42,1
1,4,6,8,9,12,13,16,1,8,9,16,1,9,1,17,19,22,24,25,28,29,32,19,22,28,29,22,28,28,33,35,38,39,41,44,46,47,35,38,44,46,38,44,38,49,51,53,56,58,60,62,63,49,56,58,63,49,58,58,28,58,28
1,3,6,7,10,11,13,15,1,6,11,15,1,11,11,17,20,22,23,26,28,29,31,17,22,26,29,17,29,17,33,35,38,39,42,44,45,47,33,39,44,47,39,47,39,49,51,53,56,57,59,61,63,51,53,59,63,53,63,53,11,53,11
1,3,5,7,10,11,13,15,1,7,11,15,1,15,1,17,20,21,23,26,28,29,31,20,21,26,29,21,29,21,33,35,38,39,41,44,45,47,33,38,44,45,33,44,33,49,51,54,56,57,60,61,63,49,54,57,63,49,57,49,1,33,1
1,3,5,7,9,11,14,15,1,5,9,15,1,9,1,17,19,21,24,25,27,30,31,19,21,27,31,19,27,27,33,35,38,39,42,43,46,47,33,38,42,47,33,42,33,49,51,54,55,57,60,62,63,51,54,57,63,51,63,51,1,33,33
1,3,5,7,9,11,13,16,3,5,11,16,5,16,5,17,19,21,23,25,27,29,31,17,21,27,29,17,29,29,34,35,38,39,41,44,46,47,34,38,44,46,38,46,38,49,51,53,56,57,59,61,63,49,53,57,63,53,63,53,5,38,38
1,3,5,7,9,12,13,15,1,5,9,15,1,15,1,17,19,21,24,25,28,30,31,17,21,28,30,17,28,17,33,35,38,40,41,44,45,48,33,38,44,45,33,44,44,50,51,53,56,58,59,62,63,51,53,58,62,51,58,51,1,44,44
1,3,5,7,9,11,14,15,1,7,9,15,1,15,15,17,20,21,24,26,28,29,32,17,21,28,29,17,28,17,33,35,38,39,42,44,45,48,33,39,42,48,33,42,33,50,51,54,55,57,59,61,63,51,55,57,63,51,63,63,17,63,17
1,3,5,8,9,11,14,15,1,8,9,15,1,15,1,18,20,21,24,25,27,30,31,20,24,25,30,20,30,30,33,35,37,39,41,44,46,47,33,37,44,46,33,44,44,50,52,53,55,57,60,62,63,52,53,57,63,53,63,63,1,44,44
1,3,6,8,10,11,13,15,1,6,10,13,1,10,1,18,20,21,23,25,28,29,32,20,21,25,29,21,29,29,33,35,38,39,42,44,46,47,33,38,42,47,38,42,38,49,52,54,56,57,59,62,63,49,56,57,63,56,57,56,29,56,56
1,3,6,7,10,11,13,15,1,6,11,15,1,11,1,17,20,21,23,26,27,29,31,17,23,26,29,17,29,17,33,35,38,39,42,44,45,47,33,39,42,47,33,47,47,50,51,53,56,57,59,61,63,50,56,59,63,50,63,63,1,63,1
1,3,6,8,9,11,13,15,1,8,9,15,1,15,1,17,19,22,24,25,28,30,31,17,24,28,30,17,28,17,33,35,37,39,41,44,46,47,35,37,41,47,37,41,41,49,51,53,55,57,59,61,63,51,53,57,63,51,63,51,1,51,51
1,4,5,7,9,11,14,15,1,7,9,15,1,9,1,17,19,21,24,25,27,29,31,19,21,25,29,21,25,21,33,35,37,40,41,43,46,48,33,37,41,48,33,48,33,49,51,53,56,57,59,62,64,49,56,57,62,49,57,49,1,49,1
1,3,6,8,9,11,13,16,1,8,11,16,8,11,11,17,19,21,24,25,27,29,31,17,21,27,29,17,29,17,33,35,37,39,41,44,45,47,33,37,44,45,37,44,37,50,52,53,56,57,59,61,63,50,53,57,63,53,63,53,17,37,37
1,3,5,7,10,11,14,15,1,5,10,14,1,10,1,17,20,21,24,25,28,29,32,17,24,25,29,17,25,25,33,36,37,39,41,43,46,47,33,37,43,46,37,46,46,50,52,53,56,57,59,62,63,52,53,59,62,52,59,59,1,46,46
1,4,5,7,10,12,14,15,1,7,10,15,1,15,1,17,20,22,23,25,27,29,31,20,23,25,29,20,29,29,33,35,37,39,42,44,46,47,35,37,44,46,35,44,44,49,51,53,56,57,60,61,63,51,53,60,63,53,63,63,1,44,1
1,4,6,8,10,11,13,15,4,6,10,15,6,15,6,17,19,22,24,26,28,29,32,19,22,28,29,19,28,28,33,35,37,40,42,44,46,47,33,37,44,46,33,46,33,49,51,53,56,57,59,62,63,51,53,57,63,53,63,63,6,63,63
1,3,6,7,9,11,14,16,1,6,11,16,1,16,1,17,20,21,24,25,28,29,31,20,21,28,31,20,31,20,33,35,38,39,42,43,45,47,35,38,42,45,35,42,35,49,51,54,56,57,59,62,64,51,56,59,64,56,59,56,20,56,20
1,3,6,7,10,11,14,15,3,6,10,14,3,14,3,17,19,21,23,26,28,30,31,17,21,28,30,21,30,30,33,35,37,39,42,44,45,47,33,37,42,45,33,42,33,49,51,53,56,57,59,62,63,49,53,57,63,49,63,49,3,49,3
1,3,6,7,9,11,14,15,1,6,11,15,6,15,15,17,19,21,23,26,28,29,31,19,21,28,31,19,31,19,33,36,38,39,42,44,46,48,36,38,42,46,36,46,46,49,51,53,55,57,60,62,63,49,53,57,63,53,63,53,15,53,15
1,3,5,8,9,11,14,15,1,5,11,15,1,15,1,17,20,21,24,25,27,29,32,20,24,27,29,20,29,20,33,35,38,39,41,43,45,48,33,39,41,45,33,41,33,49,52,53,56,57,60,62,63,52,56,57,63,56,63,63,20,63,20
1,4,6,7,10,11,13,15,1,6,10,15,6,15,15,17,20,21,23,25,28,29,31,17,21,28,29,17,28,17,33,35,38,40,41,44,45,47,33,40,44,45,33,44,33,50,51,53,56,57,59,62,63,51,53,57,62,51,57,51,15,33,15
1,3,6,8,9,11,13,15,1,8,9,15,1,15,1,17,19,22,24,25,28,29,32,19,22,25,32,19,32,19,33,36,38,39,41,44,46,47,33,38,44,46,33,44,33,49,51,53,56,58,59,61,63,51,53,59,61,51,59,59,1,33,1
1,3,5,7,10,11,14,15,1,7,10,15,1,15,1,17,20,21,24,25,28,29,31,20,21,25,29,20,25,20,34,35,37,39,42,44,46,47,34,39,44,46,39,44,44,49,51,54,55,57,60,61,63,51,54,57,63,51,63,63,1,63,1
1,3,6,7,9,11,14,15,1,7,11,15,1,11,1,17,19,21,23,25,27,29,31,17,23,27,31,17,27,17,33,35,37,40,41,43,46,47,35,37,41,47,35,47,35,49,52,54,55,57,60,61,63,52,54,57,61,54,57,54,1,35,1
1,3,5,7,9,11,13,15,3,5,9,15,3,15,3,17,20,21,23,26,27,30,31,17,23,27,30,17,30,17,33,35,37,40,41,43,46,48,33,37,41,46,33,41,41,50,51,53,56,57,59,61,63,51,53,59,63,51,59,51,3,51,3
1,4,6,7,10,11,13,16,1,7,11,13,1,11,1,18,20,21,23,25,28,29,32,20,21,28,32,20,28,28,33,35,38,39,41,43,46,47,33,39,43,47,39,43,39,49,51,53,56,57,60,61,63,51,53,57,63,51,57,51,1,51,51
